,usageclass,checkouttype,materialtype,checkoutyear,checkoutmonth,checkouts,title,isbn,creator,subjects,publisher,publicationyear
8710,Digital,OverDrive,EBOOK,2018,1,5,"Deck the Halls, We're Off the Walls!: My Weird School Special Series, Book 3",,Dan Gutman,"Humor (Fiction), Juvenile Fiction",HarperCollins Publishers Inc.,2013
8711,Digital,Freegal,SONG,2018,1,2,"Alive: Mookie Blaylock - The Moore Theatre - Seattle, WA",,Pearl Jam a/k/a Mookie Blaylock,,,
8717,Digital,OverDrive,EBOOK,2018,1,2,The Thin Green Line: How I Learned the Difference Between Being Wealthy and Rich and Why It Matters to Everyone,,Paul Sullivan,"Business, Finance, Nonfiction, Self-Improvement","Simon & Schuster, Inc.",2015
8718,Digital,OverDrive,EBOOK,2018,1,1,Gifts for the One Who Comes After,,Helen Marshall,"Fiction, Short Stories","Trajectory, Inc.",2015
8719,Digital,OverDrive,EBOOK,2018,1,1,Understanding Close-Up Photography,,Bryan Peterson,"Nonfiction, Photography, Reference","Random House, Inc.",2012
8723,Digital,OverDrive,EBOOK,2018,1,1,"Simply Sexy: Simply Series, Book 5",,Carly Phillips,"Fiction, Romance","Harlequin Enterprises, Ltd.",2010
8726,Digital,OverDrive,AUDIOBOOK,2018,1,8,"The Danger of Desire: Sinful Suitors Series, Book 3 (unabridged) (Unabridged)",,Sabrina Jeffries,"Fiction, Historical Fiction, Romance","Tantor Media, Inc",2016
8727,Digital,OverDrive,EBOOK,2018,1,1,"Plague Year: Plague Series, Book 1",,Jeff Carlson,"Fiction, Science Fiction","Penguin Group (USA), Inc.",2009
8728,Digital,OverDrive,EBOOK,2018,1,3,The Scorpio Races,,Maggie Stiefvater,"Fantasy, Young Adult Fiction","Scholastic, Inc. (US)",2014
8729,Digital,Freegal,SONG,2018,1,1,Every Little Kiss: Remastered 2003,,Bruce Hornsby & The Range,,,
8734,Digital,OverDrive,AUDIOBOOK,2018,1,1,"The Silent Dead: Reiko Himekawa Series, Book 1 (unabridged) (Unabridged)",,Tetsuya Honda,"Fiction, Mystery","Blackstone Audio, Inc.",2016
8735,Digital,OverDrive,EBOOK,2018,1,1,Whole Lotta Led Zeppelin: The Illustrated History of the Heaviest Band of All Time,,Jon Bream,"Music, Nonfiction",Quarto Publishing Group USA,2012
